"λ, nm",FL1,FL2*,FL3,FL4,FL5,FL6,FL7*,FL8
668,2.6060000000000003,2.714,2.942,3.354,2.31,2.348,7.822,11.626
669,2.5380000000000003,2.6319999999999997,2.846,3.242,2.25,2.274,7.545999999999999,11.308
670,2.47,2.55,2.75,3.13,2.19,2.2,7.27,10.99
671,2.4120000000000004,2.4779999999999998,2.666,3.032,2.138,2.1340000000000003,7.104,10.788
672,2.354,2.4059999999999997,2.582,2.934,2.086,2.068,6.938,10.586
673,2.2960000000000003,2.334,2.498,2.8360000000000003,2.034,2.0020000000000002,6.772,10.384
674,2.238,2.262,2.414,2.738,1.982,1.9360000000000002,6.606,10.182
675,2.18,2.19,2.33,2.64,1.93,1.87,6.44,9.98
676,2.13,2.13,2.262,2.56,1.886,1.816,6.3180000000000005,9.828000000000001
677,2.08,2.07,2.194,2.48,1.8419999999999999,1.762,6.196000000000001,9.676
678,2.0300000000000002,2.01,2.126,2.4000000000000004,1.798,1.7080000000000002,6.074,9.524000000000001
679,1.98,1.95,2.058,2.3200000000000003,1.754,1.6540000000000001,5.952,9.372
680,1.93,1.89,1.99,2.24,1.71,1.6,5.83,9.22
681,1.888,1.8399999999999999,1.932,2.1740000000000004,1.672,1.554,5.746,9.1
682,1.8459999999999999,1.7899999999999998,1.8739999999999999,2.108,1.634,1.508,5.662,8.98
683,1.8039999999999998,1.7399999999999998,1.8159999999999998,2.042,1.596,1.4620000000000002,5.578,8.86
684,1.762,1.69,1.758,1.976,1.558,1.4160000000000001,5.494,8.74
685,1.72,1.64,1.7,1.91,1.52,1.37,5.41,8.62
686,1.71,1.6179999999999999,1.67,1.8679999999999999,1.512,1.354,5.336,8.51
687,1.7,1.5959999999999999,1.64,1.8259999999999998,1.504,1.338,5.2620000000000005,8.4
688,1.69,1.574,1.61,1.7839999999999998,1.496,1.322,5.188,8.29
689,1.68,1.552,1.58,1.742,1.488,1.306,5.114,8.18
690,1.67,1.53,1.55,1.7,1.48,1.29,5.04,8.07
691,1.6219999999999999,1.478,1.494,1.638,1.436,1.242,4.946,7.934
692,1.5739999999999998,1.426,1.438,1.5759999999999998,1.392,1.194,4.852,7.798
693,1.5259999999999998,1.374,1.3820000000000001,1.5139999999999998,1.3479999999999999,1.146,4.758,7.662
694,1.478,1.322,1.326,1.452,1.304,1.098,4.664000000000001,7.526
695,1.43,1.27,1.27,1.39,1.26,1.05,4.57,7.39
696,1.402,1.236,1.234,1.3479999999999999,1.234,1.022,4.48,7.254
697,1.3739999999999999,1.202,1.198,1.3059999999999998,1.208,0.994,4.390000000000001,7.117999999999999
698,1.346,1.1680000000000001,1.1620000000000001,1.2639999999999998,1.182,0.966,4.3,6.982
699,1.318,1.1340000000000001,1.1260000000000001,1.222,1.156,0.9380000000000001,4.21,6.846
700,1.29,1.1,1.09,1.18,1.13,0.91,4.12,6.71
701,1.27,1.078,1.064,1.15,1.1139999999999999,0.89,4.05,6.6
702,1.25,1.056,1.038,1.1199999999999999,1.0979999999999999,0.87,3.98,6.49
