Wavelength [nm],Illuminant FL1,Illuminant FL2,Illuminant FL3,Illuminant FL4,Illuminant FL5,Illuminant FL6,Illuminant FL7,Illuminant FL8,Illuminant FL9,Illuminant FL10,Illuminant FL11,Illuminant FL12,Illuminant FL3.1,Illuminant FL3.2,Illuminant FL3.3,Illuminant FL3.4,Illuminant FL3.5,Illuminant FL3.6,Illuminant FL3.7,Illuminant FL3.8,Illuminant FL3.9,Illuminant FL3.10,Illuminant FL3.11,Illuminant FL3.12,Illuminant FL3.13,Illuminant FL3.14,Illuminant FL3.15,Illuminant LED-B1,Illuminant LED-B2,Illuminant LED-B3,Illuminant LED-B4,Illuminant LED-B5,Illuminant LED-BH1,Illuminant LED-RGB1,Illuminant LED-V1,Illuminant LED-V2,Illuminant HP1,Illuminant HP2,Illuminant HP3,Illuminant HP4,Illuminant HP5
670,2.47,2.55,2.75,3.13,2.19,2.2,7.27,10.99,10.57,1.52,1.54,1.64,15.67,26.72,11.37,80.15,62.58,54.45,8.42,7.87,7.57,3.03,7.7,48.58,39.13,38.19,317,9.95,9.25,6.42,5.05,4.06,3.07,4.01,18.69,12.57,19.18,118.10,43.44,89.91,84.31
675,2.18,2.19,2.33,2.64,1.93,1.87,6.44,9.98,9.18,1.35,1.33,1.36,13.22,24.22,9.97,70.42,56.87,49.2,6.57,6.38,6.19,1.57,6.34,42.9,34.45,33.85,298,8.93,8.30,5.69,4.54,3.61,2.73,3.37,17.39,11.64,17.98,115.16,40.48,36.01,47.48
680,1.93,1.89,1.99,2.24,1.71,1.6,5.83,9.22,8.25,1.47,1.46,1.49,11.14,22.19,8.82,65.01,52.83,45.6,7.18,7.23,7.09,1.72,7.35,37.74,30.28,29.94,277,7.98,7.42,5.02,4.05,3.22,2.42,2.89,16.05,10.69,13.69,102.85,35.16,32.57,47.46
685,1.72,1.64,1.7,1.91,1.52,1.37,5.41,8.62,7.57,1.79,1.94,2.14,9.4,20.41,7.86,60.15,49.11,42.4,9.9,8.94,8.54,1.54,8.22,32.93,26.37,26.24,260,7.10,6.60,4.42,3.62,2.86,2.15,2.51,14.69,9.78,9.99,90.54,34.94,39.26,61.78
690,1.67,1.53,1.55,1.7,1.48,1.29,5.04,8.07,7.03,1.74,2,2.34,8.65,19.1,7.78,56.04,46.28,40.02,11.47,9.79,8.77,1.71,7.93,29.65,23.88,23.9,242,6.30,5.85,3.88,3.23,2.54,1.91,2.18,13.36,8.87,8.19,83.34,24.68,23.27,34.51
695,1.43,1.27,1.27,1.39,1.26,1.05,4.57,7.39,6.35,1.02,1.2,1.42,6.75,16.79,6.3,50.92,42.24,36.48,8.88,7.26,6.41,1.1,5.7,25.19,20.1,20.33,223,5.57,5.17,3.39,2.87,2.26,1.70,1.92,12.04,8.00,7.59,79.44,24.70,25.30,38.74
700,1.29,1.1,1.09,1.18,1.13,0.91,4.12,6.71,5.72,1.14,1.35,1.61,5.69,15.13,5.67,46.26,38.58,33.28,3.05,2.59,2.26,0.28,2.23,21.69,17.4,17.42,202,4.89,4.55,2.95,2.53,2.00,1.50,1.67,10.80,7.17,6.99,76.97,21.49,20.02,30.98
705,1.19,0.99,0.96,1.03,1.05,0.81,3.77,6.16,5.25,3.32,4.1,5.04,4.87,13.82,5.15,42.6,35.59,30.84,22.04,17.03,15.02,3.65,12.43,19.28,15.29,15.64,187,4.26,3.99,2.56,2.24,1.75,1.33,1.44,9.62,6.37,6.79,74.85,19.49,17.54,25.45
710,1.08,0.88,0.83,0.88,0.96,0.71,3.46,5.63,4.8,4.49,5.58,6.98,4.29,12.63,4.91,38.85,32.76,28.3,42.79,33.69,29.39,7.54,24.24,17.36,13.62,14.34,167,3.72,3.49,2.22,1.99,1.54,1.18,1.25,8.54,5.65,6.49,73.12,18.48,16.25,22.88
715,0.96,0.76,0.71,0.74,0.85,0.61,3.08,5.03,4.29,2.05,2.51,3.19,3.54,11.39,4.31,35.09,29.61,25.65,14.4,12.02,10.22,2.34,8.74,14.74,11.68,12.21,152,3.25,3.04,1.92,1.76,1.36,1.05,1.09,7.57,5.01,6.39,71.51,17.55,15.20,20.82
720,0.88,0.68,0.62,0.64,0.78,0.54,2.73,4.46,3.8,0.49,0.57,0.71,3.03,10.32,3.99,31.73,26.89,23.33,1.88,1.68,1.42,0.05,1.39,12.86,10.31,10.65,136,2.83,2.65,1.65,1.55,1.20,0.93,0.93,6.68,4.42,6.09,70.13,17.36,15.15,21.05
725,0.81,0.61,0.54,0.54,0.72,0.48,2.47,4.02,3.43,0.24,0.27,0.3,2.62,9.21,3.67,28.77,24.53,21.23,1.6,1.5,1.23,0.04,1.23,11.28,9.11,9.43,125,2.47,2.31,1.43,1.37,1.05,0.83,0.82,5.86,3.88,5.99,69.04,17.09,15.22,20.81
730,0.77,0.56,0.49,0.49,0.68,0.44,2.25,3.66,3.12,0.21,0.23,0.26,2.28,8.89,3.43,25.76,22.17,19.29,1.42,1.31,1.1,0.04,1.1,9.97,8.03,8.34,113,2.15,2.01,1.23,1.21,0.93,0.74,0.71,5.12,3.39,5.79,67.48,16.32,14.26,18.69
735,0.75,0.54,0.46,0.46,0.67,0.43,2.06,3.36,2.86,0.21,0.21,0.23,1.94,7.5,3.19,23.16,20.02,17.41,1.05,1.01,0.84,0.03,0.84,8.88,7.13,7.52,103,1.87,1.75,1.06,1.07,0.82,0.65,0.61,4.46,2.95,5.79,66.70,16.07,12.63,17.54
740,0.73,0.51,0.43,0.42,0.65,0.4,1.9,3.09,2.64,0.24,0.24,0.28,1.7,6.71,2.95,21.3,18.45,16.31,1.23,1.16,0.97,0.03,0.94,7.78,6.31,6.73,93,1.63,1.52,0.91,0.95,0.72,0.57,0.53,3.88,2.58,5.79,66.31,16.58,14.75,19.58
745,0.68,0.47,0.39,0.37,0.61,0.37,1.75,2.85,2.43,0.24,0.24,0.28,1.5,6.11,2.75,18.55,16.09,14.21,1.76,1.59,1.35,0.02,1.23,7.04,5.67,6.08,84,1.42,1.32,0.78,0.85,0.64,0.51,0.45,3.37,2.24,5.79,65.14,15.78,13.19,16.42
750,0.69,0.47,0.39,0.37,0.62,0.38,1.62,2.65,2.26,0.21,0.2,0.21,1.36,5.4,2.63,17.74,15.62,14.04,0.74,0.79,0.65,0.02,0.68,6.3,5.11,5.52,75,1.25,1.15,0.68,0.75,0.56,0.46,0.40,2.94,1.95,6.39,65.70,17.66,17.63,23.77
755,0.64,0.43,0.35,0.33,0.59,0.35,1.54,2.51,2.14,0.17,0.24,0.17,1.16,4.8,2.43,14.74,13.1,11.55,0.52,0.67,0.13,0.01,0.52,5.55,4.55,5,66,1.10,1.00,0.58,0.67,0.49,0.41,0.35,2.54,1.70,5.99,64.79,20.46,23.38,35.39
760,0.68,0.46,0.38,0.35,0.62,0.39,1.45,2.37,2.02,0.21,0.32,0.21,4.91,8.7,7.14,12.93,11.69,10.39,4.1,4.82,4.22,0.01,4.6,10.15,9.06,9.47,58,0.97,0.87,0.50,0.61,0.44,0.37,0.30,2.21,1.47,5.59,64.10,16.59,16.02,21.37
765,0.69,0.47,0.39,0.36,0.64,0.41,1.32,2.15,1.83,0.22,0.26,0.19,0.95,4.01,2.19,13.63,12.42,11.28,0.46,0.61,0.1,0,0.45,4.5,3.74,4.08,51,0.86,0.76,0.43,0.55,0.39,0.34,0.27,1.90,1.30,31.97,83.04,17.81,24.46,34.58
770,0.61,0.4,0.33,0.31,0.55,0.33,1.17,1.89,1.61,0.17,0.16,0.15,1.5,4.09,2.71,10.43,9.43,8.51,0.99,1.25,0.68,0,1.04,4.81,4.04,4.43,46,0.76,0.67,0.37,0.50,0.35,0.30,0.24,1.65,1.10,27.87,86.25,16.07,22.05,30.21
775,0.52,0.33,0.28,0.26,0.47,0.26,0.99,1.61,1.38,0.12,0.12,0.1,0.89,3.3,2,9.67,8.96,8.24,0.43,0.79,0.16,0,0.45,3.72,3.14,3.39,41,0.68,0.59,0.32,0.45,0.31,0.28,0.21,1.44,0.96,5.89,63.93,14.83,16.11,19.71
780,0.43,0.27,0.21,0.19,0.4,0.21,0.81,1.32,1.12,0.09,0.09,0.05,0.68,2.82,1.8,8.07,7.39,7.02,0,0.58,0,0,0,3.28,2.75,3.17,37,0.61,0.52,0.28,0.42,0.27,0.25,0.17,1.22,0.84,6.69,64.92,14.61,12.91,15.61
